Rank,Genre
154,Simulation
155,Shooter
156,Puzzle
157,Action
158,Fighting
159,Adventure
160,Action
161,Racing
162,Role-Playing
163,Platform
164,Racing
165,Platform
166,Strategy
167,Shooter
168,Platform
169,Misc
170,Role-Playing
171,Puzzle
172,Misc
173,Action
174,Role-Playing
175,Role-Playing
176,Platform
177,Action
178,Puzzle
179,Action
180,Sports
181,Role-Playing
182,Role-Playing
183,Platform
184,Platform
185,Platform
186,Action
187,Action
188,Platform
189,Simulation
190,Sports
191,Shooter
192,Platform
193,Role-Playing
194,Shooter
195,Simulation
196,Misc
197,Action
198,Action
199,Action
200,Sports
201,Platform
202,Action
203,Sports
204,Fighting
205,Strategy
206,Platform
207,Shooter
208,Misc
209,Role-Playing
210,Role-Playing
211,Action
212,Sports
213,Action
214,Racing
215,Role-Playing
216,Puzzle
217,Action
218,Strategy
219,Adventure
220,Sports
221,Racing
222,Sports
223,Action
224,Action
225,Racing
226,Sports
227,Simulation
228,Action
229,Racing
230,Action
231,Misc
232,Action
233,Action
234,Sports
235,Action
236,Shooter
237,Action
238,Misc
239,Sports
240,Platform
241,Sports
242,Action
243,Role-Playing
244,Action
245,Shooter
246,Action
247,Misc
248,Misc
249,Sports
250,Sports
251,Role-Playing
252,Adventure
253,Racing
254,Shooter
255,Platform
256,Role-Playing
257,Sports
258,Shooter
259,Shooter
260,Role-Playing
261,Shooter
262,Platform
263,Action
264,Action
265,Misc
266,Action
267,Platform
268,Strategy
269,Action
270,Sports
271,Misc
272,Shooter
273,Racing
274,Action
275,Fighting
276,Sports
277,Action
278,Racing
279,Action
280,Sports
281,Action
282,Shooter
283,Platform
284,Sports
285,Action
286,Fighting
287,Misc
288,Role-Playing
289,Role-Playing
290,Role-Playing
291,Action
292,Racing
293,Sports
294,Misc
295,Fighting
296,Shooter
297,Shooter
298,Misc
299,Sports
300,Role-Playing
301,Puzzle
302,Shooter
303,Misc
304,Sports
305,Action
306,Platform
307,Sports
308,Action
309,Role-Playing
310,Racing
311,Role-Playing
312,Fighting
313,Role-Playing
314,Sports
315,Sports
316,Sports
317,Misc
318,Misc
319,Action
320,Role-Playing
321,Misc
322,Simulation
323,Action
324,Sports
325,Action
326,Action
327,Platform
328,Misc
329,Simulation
330,Platform
331,Action
332,Role-Playing
333,Action
334,Platform
335,Sports
336,Strategy
337,Shooter
338,Simulation
339,Misc
340,Sports
341,Racing
342,Platform
343,Shooter
344,Misc
345,Racing
346,Platform
347,Simulation
348,Sports
349,Sports
350,Shooter
351,Action
352,Shooter
353,Shooter
354,Shooter
355,Racing
356,Simulation
357,Action
358,Shooter
359,Fighting
360,Platform
361,Action
362,Action
363,Action
364,Shooter
365,Action
366,Shooter
367,Sports
368,Action
369,Platform
370,Shooter
371,Sports
372,Action
373,Platform
374,Action
375,Action
376,Action
377,Misc
378,Sports
379,Shooter
380,Shooter
381,Misc
382,Action
383,Shooter
384,Role-Playing
385,Shooter
386,Fighting
387,Shooter
388,Platform
389,Action
390,Role-Playing
391,Action
392,Racing
393,Sports
394,Misc
395,Action
396,Action
397,Action
398,Fighting
399,Action
400,Puzzle
401,Adventure
402,Action
403,Misc
404,Shooter
405,Platform
406,Misc
407,Action
408,Shooter
409,Action
410,Action
411,Shooter
412,Action
413,Misc
414,Racing
415,Action
416,Fighting
417,Sports
418,Adventure
419,Sports
420,Role-Playing
421,Shooter
422,Sports
423,Fighting
424,Fighting
425,Role-Playing
426,Action
427,Role-Playing
428,Misc
429,Action
430,Platform
431,Role-Playing
432,Action
433,Misc
434,Simulation
435,Adventure
436,Simulation
437,Action
438,Platform
439,Shooter
440,Shooter
441,Sports
442,Action
443,Racing
444,Racing
445,Misc
446,Role-Playing
447,Role-Playing
448,Adventure
449,Role-Playing
450,Sports
451,Fighting
452,Sports
453,Sports
454,Shooter
455,Action
456,Platform
457,Simulation
458,Role-Playing
459,Action
460,Shooter
461,Platform
462,Action
463,Platform
464,Shooter
465,Action
466,Fighting
467,Sports
468,Shooter
469,Sports
470,Fighting
471,Fighting
472,Action
473,Shooter
474,Misc
475,Sports
476,Action
477,Simulation
478,Shooter
479,Simulation
480,Role-Playing
481,Platform
482,Platform
483,Action
484,Fighting
485,Racing
486,Shooter
487,Fighting
488,Action
489,Puzzle
490,Role-Playing
491,Puzzle
492,Simulation
493,Platform
494,Sports
495,Shooter
496,Misc
497,Sports
498,Sports
499,Racing
500,Sports
501,Shooter
502,Sports
503,Shooter
504,Simulation
505,Racing
506,Shooter
507,Sports
508,Role-Playing
509,Fighting
510,Racing
511,Platform
512,Strategy
513,Action
514,Sports
515,Action
516,Shooter
517,Sports
518,Shooter
519,Fighting
520,Shooter
521,Action
522,Adventure
523,Racing
524,Simulation
525,Fighting
526,Action
527,Platform
528,Sports
529,Shooter
530,Platform
531,Fighting
532,Role-Playing
533,Fighting
534,Shooter
535,Sports
536,Puzzle
537,Role-Playing
538,Platform
539,Action
540,Platform
541,Fighting
542,Simulation
543,Platform
544,Action
545,Shooter
546,Misc
547,Action
548,Strategy
549,Action
550,Adventure
551,Shooter
552,Action
553,Action
554,Fighting
555,Misc
556,Sports
557,Action
558,Sports
559,Puzzle
560,Sports
561,Racing
562,Role-Playing
563,Racing
564,Role-Playing
565,Fighting
566,Shooter
567,Misc
568,Shooter
569,Role-Playing
570,Action
571,Action
572,Action
573,Shooter
574,Platform
575,Action
576,Action
577,Racing
578,Fighting
579,Strategy
580,Action
581,Sports
582,Sports
583,Shooter
584,Sports
585,Sports
586,Simulation
587,Action
588,Platform
589,Action
590,Sports
591,Platform
592,Sports
593,Platform
594,Shooter
595,Action
596,Role-Playing
597,Fighting
598,Platform
599,Misc
600,Role-Playing
601,Sports
602,Platform
603,Role-Playing
604,Sports
605,Role-Playing
606,Sports
607,Sports
608,Shooter
609,Racing
610,Action
611,Misc
612,Role-Playing
613,Action
614,Role-Playing
615,Sports
616,Misc
617,Action
618,Action
619,Action
620,Fighting
621,Shooter
622,Racing
623,Action
624,Sports
625,Misc
626,Sports
627,Misc
628,Misc
629,Racing
630,Role-Playing
631,Role-Playing
632,Racing
633,Shooter
634,Racing
635,Simulation
636,Adventure
637,Shooter
638,Platform
639,Sports
640,Sports
641,Fighting
642,Racing
643,Action
644,Misc
645,Racing
646,Sports
647,Puzzle
648,Fighting
649,Strategy
650,Adventure
651,Racing
652,Sports
653,Action
655,Misc
656,Action
657,Action
658,Misc
659,Action
660,Misc
661,Fighting
662,Action
663,Sports
664,Sports
665,Misc
666,Sports
667,Shooter
668,Action
669,Sports
670,Sports
671,Sports
672,Platform
673,Action
674,Platform
675,Role-Playing
676,Racing
677,Platform
678,Fighting
679,Sports
680,Action
681,Simulation
682,Action
683,Sports
684,Misc
685,Sports
686,Action
687,Shooter
688,Puzzle
689,Racing
690,Role-Playing
691,Sports
692,Action
693,Action
694,Role-Playing
695,Action
696,Action
697,Action
698,Racing
699,Sports
700,Misc
701,Action
702,Platform
703,Sports
704,Action
705,Shooter
706,Racing
707,Role-Playing
708,Misc
709,Misc
710,Platform
711,Platform
712,Misc
713,Shooter
714,Action
715,Misc
716,Adventure
717,Sports
718,Role-Playing
719,Sports
720,Role-Playing
721,Fighting
722,Platform
723,Platform
724,Action
725,Action
726,Simulation
727,Platform
728,Action
729,Puzzle
730,Adventure
731,Racing
732,Shooter
733,Action
734,Action
735,Misc
736,Action
737,Misc
738,Platform
739,Sports
740,Platform
741,Puzzle
742,Action
743,Action
744,Role-Playing
745,Misc
746,Platform
747,Action
748,Role-Playing
749,Racing
750,Racing
751,Sports
752,Role-Playing
753,Role-Playing
754,Role-Playing
755,Simulation
756,Sports
757,Simulation
758,Sports
759,Shooter
760,Shooter
761,Sports
762,Sports
763,Shooter
764,Role-Playing
765,Misc
766,Racing
767,Simulation
768,Shooter
769,Simulation
770,Puzzle
771,Role-Playing
772,Action
773,Action
774,Role-Playing
775,Platform
776,Racing
777,Sports
778,Sports
779,Shooter
780,Sports
781,Sports
782,Racing
783,Sports
784,Misc
785,Action
786,Fighting
787,Role-Playing
788,Platform
789,Action
790,Racing
791,Shooter
792,Action
793,Sports
794,Action
795,Action
796,Action
797,Misc
798,Simulation
799,Shooter
800,Action
801,Role-Playing
802,Puzzle
803,Racing
804,Simulation
805,Misc
806,Action
807,Strategy
808,Strategy
809,Sports
810,Shooter
811,Role-Playing
812,Fighting
813,Role-Playing
814,Strategy
815,Racing
816,Simulation
817,Action
818,Role-Playing
819,Action
820,Racing
821,Fighting
822,Role-Playing
823,Racing
824,Misc
825,Sports
826,Role-Playing
827,Misc
828,Role-Playing
829,Sports
830,Racing
831,Role-Playing
832,Misc
833,Misc
834,Shooter
835,Action
836,Platform
837,Action
838,Sports
839,Sports
840,Misc
841,Sports
842,Action
843,Shooter
844,Sports
845,Racing
846,Puzzle
847,Shooter
848,Action
849,Role-Playing
850,Racing
851,Fighting
852,Fighting
853,Action
854,Sports
855,Action
856,Action
857,Simulation
858,Shooter
859,Shooter
860,Role-Playing
861,Platform
862,Platform
863,Shooter
864,Action
865,Racing
866,Action
867,Shooter
868,Sports
869,Racing
870,Sports
871,Platform
872,Shooter
873,Shooter
874,Racing
875,Action
876,Shooter
877,Sports
878,Fighting
879,Sports
880,Misc
881,Adventure
882,Puzzle
883,Fighting
884,Racing
885,Shooter
886,Role-Playing
887,Action
888,Misc
889,Fighting
890,Fighting
891,Puzzle
892,Fighting
893,Action
894,Sports
895,Action
896,Action
897,Racing
898,Misc
899,Shooter
900,Simulation
901,Racing
902,Misc
903,Misc
904,Misc
905,Action
906,Misc
907,Shooter
908,Action
909,Simulation
910,Shooter
911,Racing
912,Sports
913,Role-Playing
914,Platform
915,Role-Playing
916,Fighting
917,Sports
918,Shooter
919,Fighting
920,Misc
921,Adventure
922,Sports
923,Action
924,Platform
925,Adventure
926,Sports
927,Platform
928,Role-Playing
929,Platform
930,Misc
931,Platform
932,Sports
933,Action
934,Role-Playing
935,Action
936,Misc
937,Platform
938,Misc
939,Role-Playing
940,Action
941,Action
942,Racing
943,Role-Playing
944,Sports
945,Simulation
946,Misc
947,Role-Playing
948,Racing
949,Action
950,Role-Playing
951,Shooter
952,Simulation
953,Platform
954,Platform
955,Misc
956,Simulation
957,Shooter
958,Role-Playing
959,Action
960,Simulation
961,Racing
962,Fighting
963,Platform
964,Misc
965,Platform
966,Sports
967,Action
968,Sports
969,Shooter
970,Platform
971,Adventure
972,Action
973,Racing
974,Role-Playing
975,Action
976,Action
977,Puzzle
978,Action
979,Role-Playing
980,Action
981,Action
982,Misc
983,Misc
984,Sports
985,Role-Playing
986,Platform
987,Fighting
988,Fighting
989,Adventure
990,Fighting
991,Platform
992,Role-Playing
993,Platform
994,Platform
995,Fighting
996,Shooter
997,Action
998,Shooter
999,Action
1000,Action
1001,Shooter
1002,Simulation
1003,Sports
1004,Simulation
1005,Sports
1006,Role-Playing
1007,Shooter
1008,Sports
1009,Shooter
1010,Puzzle
1011,Platform
1012,Platform
1013,Simulation
1014,Simulation
1015,Misc
1016,Adventure
1017,Role-Playing
1018,Shooter
1019,Misc
1020,Racing
1021,Platform
1022,Racing
1023,Sports
1024,Role-Playing
1025,Shooter
1026,Shooter
1027,Sports
1028,Shooter
1029,Action
1030,Action
1031,Action
1032,Platform
1033,Action
1034,Action
1035,Shooter
1036,Role-Playing
1037,Shooter
1038,Simulation
1039,Shooter
1040,Sports
1041,Role-Playing
1042,Simulation
1043,Puzzle
1044,Platform
1045,Misc
1046,Simulation
1047,Racing
1048,Misc
1049,Puzzle
1050,Sports
1051,Racing
1052,Sports
1053,Sports
1054,Puzzle
1055,Platform
1056,Puzzle
1057,Action
1058,Sports
1059,Shooter
1060,Sports
1061,Action
1062,Action
1063,Misc
1064,Role-Playing
1065,Sports
1066,Fighting
1067,Fighting
1068,Action
1069,Racing
1070,Role-Playing
1071,Strategy
1072,Action
1073,Action
1074,Shooter
1075,Misc
1076,Sports
1077,Action
1078,Puzzle
1079,Shooter
1080,Simulation
1081,Action
1082,Simulation
1083,Action
1084,Sports
1085,Sports
1086,Sports
1087,Sports
1088,Fighting
1089,Platform
1090,Shooter
1091,Platform
1092,Sports
1093,Adventure
1094,Strategy
1095,Racing
1096,Racing
1097,Sports
1098,Platform
1099,Action
1100,Action
1101,Fighting
1102,Sports
1103,Shooter
1104,Sports
1105,Racing
1106,Sports
1107,Fighting
1108,Puzzle
1109,Misc
1110,Shooter
1111,Misc
1112,Role-Playing
1113,Shooter
1114,Role-Playing
1115,Platform
1116,Action
1117,Puzzle
1118,Shooter
1119,Action
1120,Sports
1121,Sports
1122,Action
1123,Simulation
1124,Adventure
1125,Sports
1126,Simulation
1127,Strategy
1128,Shooter
1129,Platform
1130,Sports
1131,Platform
1132,Sports
1133,Sports
1134,Action
1135,Misc
1136,Sports
1137,Shooter
1138,Sports
1139,Racing
1140,Racing
1141,Role-Playing
1142,Sports
1143,Shooter
1144,Sports
1145,Strategy
1146,Sports
1147,Misc
1148,Action
1149,Shooter
1150,Simulation
1151,Misc
1152,Action
1153,Action
1154,Racing
1155,Shooter
1156,Action
1157,Role-Playing
1158,Action
1159,Platform
1160,Sports
1161,Role-Playing
1162,Action
1163,Fighting
1164,Action
1165,Platform
1166,Sports
1167,Fighting
1168,Action
1169,Racing
1170,Shooter
1171,Sports
1172,Misc
1173,Simulation
1174,Misc
1175,Racing
1176,Misc
1177,Misc
1178,Action
1179,Action
1180,Role-Playing
1181,Platform
1182,Sports
1183,Sports
1184,Shooter
1185,Misc
1186,Sports
1187,Racing
1188,Fighting
1189,Platform
1190,Action
1191,Role-Playing
1192,Action
1193,Role-Playing
1194,Misc
1195,Action
1196,Action
1197,Action
1198,Racing
1199,Shooter
1200,Sports
1201,Shooter
1202,Action
1203,Action
1204,Action
1205,Action
1206,Role-Playing
1207,Strategy
1208,Strategy
1209,Misc
1210,Action
1211,Action
1212,Role-Playing
1213,Role-Playing
1214,Strategy
1215,Shooter
1216,Adventure
1217,Sports
1218,Shooter
1219,Shooter
1220,Fighting
1221,Simulation
1222,Action
1223,Fighting
1224,Sports
1225,Shooter
1226,Sports
1227,Sports
1228,Sports
1229,Platform
1230,Shooter
1231,Racing
1232,Fighting
1233,Sports
1234,Racing
1235,Racing
1236,Shooter
1237,Racing
1238,Sports
1239,Action
1240,Shooter
1241,Puzzle
1242,Action
1243,Sports
1244,Racing
1245,Action
1246,Sports
1247,Role-Playing
1248,Action
1249,Fighting
1250,Sports
1251,Action
1252,Misc
1253,Fighting
1254,Shooter
1255,Racing
1256,Role-Playing
1257,Sports
1258,Shooter
1259,Puzzle
1260,Sports
1261,Fighting
1262,Platform
1263,Platform
1264,Platform
1265,Action
1266,Misc
1267,Action
1268,Misc
1269,Role-Playing
1270,Shooter
1271,Sports
1272,Adventure
1273,Platform
1274,Misc
1275,Action
1276,Simulation
1277,Sports
1278,Adventure
1279,Shooter
1280,Sports
1281,Fighting
1282,Platform
1283,Role-Playing
1284,Sports
1285,Fighting
1286,Action
1287,Simulation
1288,Action
1289,Fighting
1290,Action
1291,Platform
1292,Fighting
1293,Action
1294,Role-Playing
1295,Action
1296,Shooter
1297,Adventure
1298,Platform
1299,Role-Playing
1300,Platform
1301,Shooter
1302,Shooter
1303,Misc
1304,Platform
1305,Sports
1306,Shooter
1307,Puzzle
1308,Platform
1309,Fighting
1310,Sports
1311,Role-Playing
1312,Action
1313,Action
1314,Fighting
1315,Fighting
1316,Platform
1317,Action
1318,Role-Playing
1319,Action
1320,Shooter
1321,Shooter
1322,Strategy
1323,Action
1324,Misc
1325,Simulation
1326,Misc
1327,Fighting
1328,Simulation
1329,Misc
1330,Puzzle
1331,Role-Playing
1332,Sports
1333,Misc
1334,Misc
1335,Misc
1336,Racing
1337,Simulation
1338,Platform
1339,Shooter
1340,Fighting
1341,Racing
1342,Misc
1343,Racing
1344,Sports
1345,Shooter
1346,Sports
1347,Action
1348,Action
1349,Action
1350,Misc
1351,Sports
1352,Platform
1353,Platform
1354,Sports
1355,Role-Playing
1356,Sports
1357,Fighting
1358,Sports
1359,Action
1360,Sports
1361,Platform
1362,Action
1363,Sports
1364,Action
1365,Action
1366,Role-Playing
1367,Action
1368,Action
1369,Action
1370,Fighting
1371,Action
1372,Fighting
1373,Sports
1374,Platform
1375,Racing
1376,Action
1377,Fighting
1378,Racing
1379,Racing
1380,Racing
1381,Shooter
1382,Action
1383,Racing
1384,Sports
1385,Action
1386,Platform
1387,Role-Playing
1388,Shooter
1389,Racing
1390,Sports
1391,Shooter
1392,Role-Playing
1393,Action
1394,Shooter
1395,Sports
1396,Action
1397,Action
1398,Action
1399,Action
1400,Shooter
1401,Action
1402,Simulation
1403,Role-Playing
1404,Role-Playing
1405,Shooter
1406,Shooter
1407,Role-Playing
1408,Action
1409,Misc
1410,Adventure
1411,Puzzle
1412,Sports
1413,Action
1414,Action
1415,Action
1416,Racing
1417,Misc
1418,Racing
1419,Racing
1420,Platform
1421,Role-Playing
1422,Action
1423,Strategy
1424,Sports
1425,Shooter
1426,Platform
1427,Racing
1428,Misc
1429,Shooter
1430,Role-Playing
1431,Shooter
1432,Platform
1433,Action
1434,Shooter
1435,Action
1436,Fighting
1437,Simulation
1438,Racing
1439,Sports
1440,Sports
1441,Misc
1442,Sports
1443,Action
1444,Action
1445,Shooter
1446,Fighting
1447,Action
1448,Racing
1449,Action
1450,Shooter
1451,Role-Playing
1452,Action
1453,Role-Playing
1454,Misc
1455,Sports
1456,Adventure
1457,Racing
1458,Role-Playing
1459,Shooter
1460,Fighting
1461,Shooter
1462,Platform
1463,Racing
1464,Shooter
1465,Strategy
1466,Sports
1467,Fighting
1468,Platform
1469,Sports
1470,Shooter
1471,Platform
1472,Sports
1473,Action
1474,Fighting
1475,Sports
1476,Simulation
1477,Sports
1478,Shooter
1479,Fighting
1480,Role-Playing
1481,Racing
1482,Simulation
1483,Role-Playing
1484,Action
1485,Racing
1486,Action
1487,Role-Playing
1488,Role-Playing
1489,Role-Playing
1490,Action
1491,Racing
1492,Puzzle
1493,Sports
1494,Fighting
1495,Role-Playing
1496,Shooter
1497,Sports
1498,Racing
1499,Action
1500,Action
1501,Racing
1502,Racing
1503,Misc
1504,Fighting
1505,Action
1506,Misc
1507,Platform
1508,Adventure
1509,Strategy
1510,Platform
1511,Shooter
1512,Misc
1513,Sports
1514,Racing
1515,Adventure
1516,Role-Playing
1517,Action
1518,Sports
1519,Action
1520,Misc
1521,Sports
1522,Racing
1523,Role-Playing
1524,Sports
1525,Role-Playing
1526,Adventure
1527,Racing
1528,Platform
1529,Role-Playing
1530,Sports
1531,Action
1532,Racing
1533,Shooter
1534,Platform
1535,Shooter
1536,Misc
1537,Adventure
1538,Role-Playing
1539,Racing
1540,Role-Playing
1541,Action
1542,Simulation
1543,Action
1544,Misc
1545,Action
1546,Action
1547,Action
1548,Racing
1549,Action
1550,Action
1551,Action
1552,Action
1553,Platform
1554,Simulation
1555,Action
1556,Racing
1557,Role-Playing
1558,Shooter
1559,Sports
1560,Fighting
1561,Sports
1562,Shooter
1563,Role-Playing
1564,Sports
1565,Role-Playing
1566,Sports
1567,Platform
1568,Action
1569,Fighting
1570,Action
1571,Action
1572,Simulation
1573,Sports
1574,Puzzle
1575,Simulation
1576,Action
1577,Racing
1578,Sports
1579,Sports
1580,Action
1581,Misc
1582,Action
1583,Sports
1584,Shooter
1585,Sports
1586,Action
1587,Action
1588,Shooter
1589,Role-Playing
1590,Role-Playing
1591,Sports
1592,Fighting
1593,Role-Playing
1594,Shooter
1595,Strategy
1596,Action
1597,Action
1598,Racing
1599,Shooter
1600,Role-Playing
1601,Action
1602,Role-Playing
1603,Racing
1604,Action
1605,Action
1606,Platform
1607,Role-Playing
1608,Action
1609,Fighting
1610,Puzzle
1611,Action
1612,Action
1613,Platform
1614,Sports
1615,Action
1616,Platform
1617,Racing
1618,Misc
1619,Simulation
1620,Misc
1621,Shooter
1622,Puzzle
1623,Platform
1624,Racing
1625,Platform
1626,Platform
1627,Action
1628,Puzzle
1629,Shooter
1630,Sports
1631,Puzzle
1632,Role-Playing
1633,Simulation
1634,Action
1635,Fighting
1636,Sports
1637,Puzzle
1638,Misc
1639,Misc
1640,Puzzle
1641,Adventure
1642,Racing
1643,Racing
1644,Sports
1645,Role-Playing
1646,Role-Playing
1647,Simulation
1648,Shooter
1649,Fighting
1650,Sports
1651,Racing
1652,Fighting
1653,Racing
1654,Misc
1655,Shooter
1656,Sports
1657,Platform
1658,Action
1659,Platform
1660,Role-Playing
1661,Action
1662,Action
1663,Racing
1664,Misc
1665,Racing
1666,Sports
1667,Sports
1668,Action
1669,Action
1670,Racing
1671,Strategy
1672,Misc
1673,Misc
1674,Shooter
1675,Sports
1676,Fighting
1677,Shooter
1678,Platform
1679,Sports
1680,Shooter
1681,Action
1682,Sports
1683,Puzzle
1684,Adventure
1685,Action
1686,Sports
1687,Action
1688,Simulation
1689,Puzzle
1690,Fighting
1691,Racing
1692,Sports
1693,Platform
1694,Sports
1695,Action
1696,Sports
1697,Platform
1698,Racing
1699,Action
1700,Sports
1701,Action
1702,Role-Playing
1703,Sports
1704,Role-Playing
1705,Misc
1706,Adventure
1707,Racing
1708,Action
1709,Action
1710,Sports
1711,Adventure
1712,Sports
1713,Sports
1714,Fighting
1715,Fighting
1716,Strategy
1717,Platform
1718,Platform
1719,Strategy
1720,Simulation
1721,Sports
1722,Shooter
1723,Shooter
1724,Platform
1725,Platform
1726,Platform
1727,Action
1728,Platform
1729,Platform
1730,Action
1731,Role-Playing
1732,Sports
1733,Sports
1734,Racing
1735,Shooter
1736,Sports
1737,Racing
1738,Platform
1739,Shooter
1740,Puzzle
1741,Action
1742,Sports
1743,Role-Playing
1744,Racing
1745,Role-Playing
1746,Racing
1747,Shooter
1748,Misc
1749,Fighting
1750,Action
1751,Racing
1752,Shooter
1753,Platform
1754,Role-Playing
1755,Racing
1756,Racing
1757,Shooter
1758,Shooter
1759,Misc
1760,Action
1761,Sports
1762,Shooter
1763,Simulation
1764,Simulation
1765,Action
1766,Action
1767,Shooter
1768,Misc
1769,Action
1770,Platform
1771,Shooter
1772,Puzzle
1773,Sports
1774,Action
1775,Misc
1776,Platform
1777,Misc
1778,Fighting
1779,Role-Playing
1780,Platform
1781,Shooter
1782,Puzzle
1783,Action
1784,Action
1785,Action
1786,Action
1787,Role-Playing
1788,Sports
1789,Simulation
1790,Platform
1791,Platform
1792,Shooter
1793,Action
1794,Simulation
1795,Action
1796,Racing
1797,Action
1798,Action
1799,Role-Playing
1800,Misc
1801,Simulation
1802,Racing
1803,Simulation
1804,Racing
1805,Action
1806,Sports
1807,Racing
1808,Role-Playing
1809,Shooter
1810,Sports
1811,Platform
1812,Misc
1813,Sports
1814,Shooter
1815,Action
1816,Role-Playing
1817,Misc
1818,Action
1819,Shooter
1820,Racing
1821,Simulation
1822,Shooter
1823,Role-Playing
1824,Action
1825,Misc
1826,Action
1827,Shooter
1828,Shooter
1829,Puzzle
1830,Misc
1831,Sports
1832,Action
1833,Shooter
1834,Action
1835,Action
1836,Racing
1837,Misc
1838,Shooter
1839,Misc
1840,Action
1841,Platform
1842,Role-Playing
1843,Sports
1844,Racing
1845,Strategy
1846,Role-Playing
1847,Puzzle
1848,Action
1849,Misc
1850,Shooter
1851,Shooter
1852,Action
1853,Platform
1854,Sports
1855,Action
1856,Simulation
1857,Fighting
1858,Strategy
1859,Puzzle
1860,Role-Playing
1861,Role-Playing
1862,Racing
1863,Platform
1864,Shooter
1865,Sports
1866,Misc
1867,Misc
1868,Role-Playing
1869,Role-Playing
1870,Role-Playing
1871,Role-Playing
1872,Action
1873,Simulation
1874,Action
1875,Adventure
1876,Sports
1877,Role-Playing
1878,Fighting
1879,Sports
1880,Simulation
1881,Misc
1882,Action
1883,Sports
1884,Strategy
1885,Action
1886,Sports
1887,Shooter
1888,Simulation
1889,Action
1890,Racing
1891,Action
1892,Adventure
1893,Sports
1894,Racing
1895,Racing
1896,Action
1897,Platform
1898,Action
1899,Sports
1900,Sports
1901,Adventure
1902,Action
1903,Action
1904,Action
1905,Sports
1906,Shooter
1907,Platform
1908,Action
1909,Shooter
1910,Racing
1911,Platform
1912,Simulation
1913,Sports
1914,Fighting
1915,Platform
1916,Shooter
1917,Fighting
1918,Fighting
1919,Sports
1920,Misc
1921,Shooter
1922,Simulation
1923,Action
1924,Action
1925,Fighting
1926,Sports
1927,Fighting
1928,Sports
1929,Platform
1930,Sports
1931,Fighting
1932,Platform
1933,Racing
1934,Sports
1935,Action
1936,Racing
1937,Action
1938,Racing
1939,Sports
1940,Fighting
1941,Shooter
1942,Racing
1943,Misc
1944,Action
1945,Racing
1946,Shooter
1947,Misc
1948,Sports
1949,Sports
1950,Action
1951,Shooter
1952,Strategy
1953,Action
1954,Action
1955,Sports
1956,Sports
1957,Misc
1958,Platform
1959,Role-Playing
1960,Fighting
1961,Action
1962,Sports
1963,Racing
1964,Simulation
1965,Adventure
1966,Action
1967,Shooter
1968,Shooter
1969,Action
1970,Shooter
1971,Misc
1972,Misc
1973,Platform
1974,Role-Playing
1975,Fighting
1976,Sports
1977,Action
1978,Sports
1979,Fighting
1980,Racing
1981,Sports
1982,Simulation
1983,Fighting
1984,Racing
1985,Platform
1986,Adventure
1987,Simulation
1988,Role-Playing
1989,Action
1990,Action
1991,Sports
1992,Action
1993,Fighting
1994,Action
1995,Role-Playing
1996,Racing
1997,Adventure
1998,Action
1999,Fighting
2000,Simulation
2001,Shooter
2002,Racing
2003,Puzzle
2004,Racing
2005,Action
2006,Racing
2007,Racing
2008,Platform
2009,Action
2010,Simulation
2011,Shooter
2012,Racing
2013,Racing
2014,Sports
2015,Racing
2016,Platform
2017,Sports
2018,Platform
2019,Action
2020,Sports
2021,Platform
2022,Puzzle
2023,Action
