Name,Year,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Super Mario 64,2004,10.42,5.08,3.11,1.25,0.98
Just Dance 3,2011,10.26,6.05,3.15,0,1.07
Call of Duty: Ghosts,2013,10.21,6.72,2.63,0.04,0.82
Halo: Reach,2010,9.88,7.03,1.98,0.08,0.78
Mario Kart 64,1996,9.87,5.55,1.94,2.23,0.15
New Super Mario Bros. 2,2012,9.82,3.66,3.07,2.47,0.63
Halo 4,2012,9.76,6.63,2.36,0.04,0.73
Final Fantasy VII,1997,9.72,3.01,2.47,3.28,0.96
Call of Duty: Ghosts,2013,9.59,4.09,3.73,0.38,1.38
Just Dance 2,2010,9.52,5.84,2.89,0.01,0.78
Gran Turismo 2,1999,9.49,3.88,3.42,1.69,0.5
Call of Duty 4: Modern Warfare,2007,9.32,5.91,2.38,0.13,0.9
Donkey Kong Country,1994,9.3,4.36,1.71,3,0.23
Minecraft,2013,9.2,5.58,2.83,0.02,0.77
Animal Crossing: New Leaf,2012,9.09,2.01,2.32,4.36,0.41
Mario Party DS,2007,9.02,4.46,1.88,1.98,0.7
The Elder Scrolls V: Skyrim,2011,8.84,5.03,2.86,0.1,0.85
Super Mario Kart,1992,8.76,3.54,1.24,3.81,0.18
FIFA 16,2015,8.49,1.11,6.06,0.06,1.26
Wii Party,2010,8.49,1.79,3.53,2.49,0.68
Halo 2,2004,8.49,6.82,1.53,0.05,0.08
Mario Party 8,2007,8.42,3.81,2.3,1.58,0.73
Pokemon Black 2/Pokemon White 2,2012,8.33,2.91,1.86,3.14,0.43
FIFA Soccer 13,2012,8.24,1.06,5.05,0.13,2.01
The Sims 3,2009,8.11,0.98,6.42,0,0.71
GoldenEye 007,1997,8.09,5.8,2.01,0.13,0.15
Mario & Sonic at the Olympic Games,2007,8.06,2.58,3.9,0.66,0.91
Final Fantasy X,2001,8.05,2.91,2.07,2.73,0.33
Final Fantasy VIII,1999,7.86,2.28,1.72,3.63,0.23
Pokémon Platinum Version,2008,7.84,2.82,1.78,2.69,0.55
Pac-Man,1982,7.81,7.28,0.45,0,0.08
Grand Theft Auto: Liberty City Stories,2005,7.72,2.9,2.83,0.24,1.75
Super Mario Galaxy 2,2010,7.69,3.66,2.42,0.98,0.64
Star Wars Battlefront (2015),2015,7.67,2.93,3.29,0.22,1.23
Call of Duty: Advanced Warfare,2014,7.6,2.8,3.3,0.14,1.37
The Legend of Zelda: Ocarina of Time,1998,7.6,4.1,1.89,1.45,0.16
Crash Bandicoot 2: Cortex Strikes Back,1997,7.58,3.78,2.17,1.31,0.31
Super Mario Bros. 2,1988,7.46,5.39,1.18,0.7,0.19
Super Smash Bros. for Wii U and 3DS,2014,7.45,3.24,1.35,2.42,0.43
Call of Duty: World at War,2008,7.37,4.79,1.9,0,0.69
Battlefield 3,2011,7.34,4.46,2.13,0.06,0.69
The Legend of Zelda: Twilight Princess,2006,7.31,3.83,2.19,0.6,0.7
Call of Duty: Black Ops 3,2015,7.3,4.52,2.09,0.01,0.67
Just Dance,2009,7.27,3.51,3.03,0,0.73
Battlefield 3,2011,7.23,2.85,2.93,0.35,1.1
Need for Speed Underground,2003,7.2,3.27,2.83,0.08,1.02
Tekken 3,1998,7.16,3.27,2.22,1.4,0.29
Crash Bandicoot 3: Warped,1998,7.13,3.68,1.75,1.42,0.28
Super Smash Bros. Melee,2001,7.07,4.41,1.04,1.39,0.22
Mario Kart 8,2014,6.96,3.13,2.07,1.27,0.49
Fallout 4,2015,6.96,2.47,3.15,0.24,1.1
Mario Kart: Double Dash!!,2003,6.95,4.12,1.77,0.87,0.19
Just Dance 4,2012,6.91,4.14,2.21,0,0.56
FIFA 14,2013,6.9,0.78,4.32,0.07,1.73
Need for Speed Underground 2,2004,6.9,2.71,3.02,0.08,1.09
Medal of Honor: Frontline,2002,6.83,2.93,2.75,0.17,0.99
Uncharted 3: Drake's Deception,2011,6.83,2.77,2.8,0.19,1.06
Crash Bandicoot,1996,6.82,3.23,2.35,0.94,0.3
Zumba Fitness,2010,6.81,3.5,2.64,0,0.67
Gears of War 2,2008,6.76,4.15,1.92,0.06,0.64
Uncharted 2: Among Thieves,2009,6.73,3.27,2.25,0.21,1
Call of Duty 4: Modern Warfare,2007,6.72,3.1,2.3,0.28,1.04
FIFA 12,2011,6.69,0.84,4.32,0.11,1.42
Big Brain Academy,2005,6.67,1.67,2.78,1.6,0.62
Red Dead Redemption,2010,6.6,2.79,2.61,0.17,1.03
FIFA 15,2014,6.59,0.79,4.29,0.05,1.47
Donkey Kong Country Returns,2010,6.59,3.25,1.84,1.03,0.47
The Elder Scrolls V: Skyrim,2011,6.56,2.55,2.71,0.25,1.05
The Legend of Zelda,1986,6.51,3.74,0.93,1.69,0.14
Assassin's Creed III,2012,6.5,2.64,2.56,0.16,1.14
Halo: Combat Evolved,2001,6.43,4.98,1.3,0.08,0.07
Pokémon Emerald Version,2004,6.41,2.57,1.58,2.06,0.21
Kingdom Hearts,2002,6.4,3.64,1.2,1.49,0.07
Pokémon Crystal Version,2000,6.39,2.55,1.56,1.29,0.99
Halo 3: ODST,2009,6.36,4.34,1.35,0.06,0.61
Red Dead Redemption,2010,6.34,3.7,1.97,0.09,0.57
Super Mario Sunshine,2002,6.31,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,1992,6.3,2.47,0.83,2.87,0.12
World of Warcraft,2004,6.28,0.07,6.21,0,0
Driver,1999,6.27,3.11,2.8,0.02,0.33
Kinect Sports,2010,6.24,3.92,1.78,0.03,0.51
Gears of War 3,2011,6.24,4.05,1.62,0.07,0.49
Gears of War,2006,6.11,3.54,1.9,0.07,0.6
Metal Gear Solid 2: Sons of Liberty,2001,6.05,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,1992,6.03,4.47,1.2,0.16,0.19
Metal Gear Solid 4: Guns of the Patriots,2008,6.03,2.63,1.74,0.83,0.83
Metal Gear Solid,1998,6.03,3.18,1.83,0.78,0.24
The Last of Us,2013,5.99,2.41,2.28,0.28,1.01
Final Fantasy XII,2006,5.95,1.88,0,2.33,1.74
LittleBigPlanet,2008,5.92,2.8,2.05,0.17,0.9
Dragon Quest IX: Sentinels of the Starry Skies,2009,5.84,0.66,0.69,4.35,0.15
LEGO Star Wars: The Complete Saga,2007,5.83,3.66,1.63,0,0.53
Resident Evil 2,1998,5.82,1.88,1.47,2.02,0.45
Tekken 2,1996,5.74,2.26,1.89,1.36,0.23
Cooking Mama,2006,5.72,3.13,1.94,0.07,0.58
Destiny,2014,5.65,2.49,2.05,0.16,0.96
Tetris,1988,5.58,2.97,0.69,1.81,0.11
Assassin's Creed II,2009,5.57,2.54,1.95,0.21,0.87
Super Smash Bros.,1999,5.55,2.95,0.6,1.97,0.04
Assassin's Creed,2007,5.55,3.28,1.65,0.07,0.55
Batman: Arkham City,2011,5.53,2.7,1.91,0.11,0.8
Forza Motorsport 3,2009,5.51,2.99,1.92,0.1,0.51
Monster Hunter Freedom Unite,2008,5.5,0.47,0.57,4.13,0.34
Super Mario Advance,2001,5.49,3.14,1.24,0.91,0.2
Mario Kart: Super Circuit,2001,5.47,2.62,1.64,0.99,0.23
Super Mario World,2001,5.46,3.21,1.11,0.95,0.2
Pokemon Stadium,1999,5.45,3.18,1.24,0.94,0.09
Call of Duty: World at War,2008,5.43,2.72,1.87,0,0.84
Crash Bandicoot: The Wrath of Cortex,2001,5.42,2.07,2.29,0.24,0.82
Minecraft,2014,5.42,1.97,2.51,0,0.94
Final Fantasy XIII,2009,5.36,1.74,1.24,1.87,0.52
Dr. Mario,1989,5.34,2.18,0.96,2,0.2
Pokemon Pinball,1999,5.31,3.02,1.12,1.01,0.16
Assassin's Creed III,2012,5.3,3.13,1.71,0.03,0.44
Final Fantasy IX,2000,5.3,1.62,0.77,2.78,0.14
Final Fantasy X-2,2003,5.29,1.92,1.08,2.11,0.17
Donkey Kong 64,1999,5.27,3.33,0.79,1.09,0.06
Assassin's Creed II,2009,5.27,3.1,1.56,0.08,0.51
Professor Layton and the Curious Village,2007,5.26,1.22,2.48,1.03,0.52
Tomb Raider II,1997,5.24,2.3,2.46,0.2,0.28
Madden NFL 2004,,5.23,4.26,0.26,0.01,0.71
Dragon Quest VIII: Journey of the Cursed King,2004,5.21,0.65,0.75,3.61,0.2
Diablo III,2012,5.2,2.43,2.15,0,0.62
Super Mario Bros. 3,2003,5.2,2.93,1.25,0.83,0.2
New Super Mario Bros. U,2012,5.19,2.32,1.3,1.27,0.31
Super Mario Land 3: Wario Land,1994,5.19,2.49,0.98,1.57,0.15
FIFA Soccer 13,2012,5.18,1.08,3.48,0.03,0.58
The Legend of Zelda: Phantom Hourglass,2007,5.17,1.9,1.83,0.95,0.49
Donkey Kong Country 2: Diddy's Kong Quest,1995,5.15,2.1,0.74,2.2,0.11
Tomodachi Life,2013,5.15,0.96,2.02,1.89,0.28
Mario & Sonic at the Olympic Games,2008,5.14,1.64,2.48,0.44,0.58
Medal of Honor: Rising Sun,2003,5.13,1.98,2.23,0.13,0.8
Kirby's Dream Land,1992,5.13,2.71,0.61,1.7,0.11
Fable III,2010,5.13,3.59,1.11,0.05,0.38
Call of Duty: Advanced Warfare,2014,5.13,3.21,1.53,0.01,0.38
Microsoft Flight Simulator,1996,5.12,3.22,1.69,0,0.2
Guitar Hero II,2006,5.12,3.81,0.63,0,0.68
Resident Evil 5,2009,5.11,1.96,1.43,1.08,0.65
Grand Theft Auto V,2014,5.08,2.66,2.01,0,0.41
Grand Theft Auto: Vice City Stories,2006,5.08,1.7,2.02,0.16,1.21
FIFA Soccer 11,2010,5.08,0.6,3.29,0.06,1.13
Super Mario Bros.,1999,5.07,3.4,1.3,0.15,0.22
Resident Evil,1996,5.05,2.05,1.16,1.11,0.73
Tony Hawk's Pro Skater,1999,5.02,3.42,1.38,0.02,0.2
Super Smash Bros. for Wii U and 3DS,2014,5.02,2.59,1.06,0.8,0.57
Warzone 2100,1999,5.01,2.79,1.89,0,0.33
Spyro the Dragon,1998,5,3.36,1.36,0.07,0.21
Link's Crossbow Training,2007,5,3.06,1.18,0.29,0.46
Guitar Hero III: Legends of Rock,2007,4.98,3.49,0.01,0.01,1.48
Fallout 3,2008,4.96,3.39,1.03,0.09,0.44
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,4.96,1.85,1.2,1.54,0.37
Uncharted: Drake's Fortune,2007,4.94,2.31,1.73,0.12,0.78
Madden NFL 06,2005,4.91,3.98,0.26,0.01,0.66
LEGO Star Wars: The Complete Saga,2007,4.9,2.89,1.54,0,0.46
Diddy Kong Racing,1997,4.88,2.91,0.99,0.89,0.1
Monster Hunter Freedom 3,2010,4.87,0,0,4.87,0
Dr. Mario,1990,4.85,2.62,0.6,1.52,0.1
God of War III,2010,4.84,2.74,1.36,0.12,0.63
StarCraft II: Wings of Liberty,2010,4.83,2.56,1.68,0,0.59
Assassin's Creed,2007,4.83,1.91,2,0.09,0.83
FIFA 15,2014,4.82,0.57,3.14,0.04,1.07
Crash Team Racing,1999,4.79,2.57,1.57,0.44,0.21
FIFA 17,2016,4.77,0.28,3.75,0.06,0.69
Batman: Arkham City,2011,4.76,2.99,1.31,0.04,0.41
Driver 2,2000,4.73,2.36,2.1,0.02,0.25
The Simpsons: Hit & Run,2003,4.7,1.73,2.19,0,0.79
Tony Hawk's Pro Skater 2,2000,4.68,3.05,1.41,0.02,0.2
Animal Crossing: City Folk,2008,4.68,1.87,1.12,1.32,0.37
The Lord of the Rings: The Two Towers,2002,4.67,1.94,1.95,0.08,0.7
Forza Motorsport 4,2011,4.64,2.08,2.04,0.06,0.47
Tomb Raider,1996,4.63,2.29,1.97,0.13,0.24
Guitar Hero III: Legends of Rock,2007,4.62,3.06,1.12,0,0.44
The Legend of Zelda: A Link to the Past,1991,4.61,2.42,0.91,1.15,0.13
The Legend of Zelda: The Wind Waker,2002,4.6,2.6,0.99,0.89,0.13
Mario & Sonic at the Olympic Winter Games,2009,4.58,1.89,1.99,0.22,0.48
Luigi's Mansion: Dark Moon,2013,4.58,1.78,1.39,1.1,0.3
Splatoon,2015,4.57,1.55,1.15,1.44,0.43
The Last of Us,2014,4.55,1.78,1.87,0.07,0.82
Guitar Hero III: Legends of Rock,2007,4.53,3.19,0.92,0.01,0.42
Madden NFL 2005,2004,4.53,4.18,0.26,0.01,0.08
Pitfall!,1981,4.5,4.21,0.24,0,0.05
Madden NFL 07,2006,4.49,3.63,0.24,0.01,0.61
Spider-Man: The Movie,2002,4.48,2.71,1.51,0.03,0.23
Dragon Quest VII: Warriors of Eden,2000,4.47,0.2,0.14,4.1,0.02
Uncharted: The Nathan Drake Collection,2015,4.47,1.96,1.69,0.08,0.74
Call of Duty: Advanced Warfare,2014,4.45,1.54,1.94,0.19,0.77
God of War,2005,4.45,2.71,1.29,0.02,0.43
Nintendo Land,2012,4.44,2.55,1.11,0.46,0.33
Michael Jackson: The Experience,2010,4.42,2.67,1.35,0.01,0.39
Tony Hawk's Pro Skater 3,2001,4.41,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,2006,4.39,0.1,2.39,1.05,0.86
The Elder Scrolls IV: Oblivion,2006,4.39,2.82,1.05,0.13,0.4
Zelda II: The Adventure of Link,1987,4.38,2.19,0.5,1.61,0.08
Need for Speed: Most Wanted,2005,4.37,2.03,1.79,0.08,0.47
Resistance: Fall of Man,2006,4.35,1.73,1.73,0.14,0.75
Sonic the Hedgehog,1991,4.34,3.03,0.91,0.26,0.13
Kingdom Hearts II,2005,4.33,2.2,0.58,1.38,0.17
FIFA 14,2013,4.31,0.92,2.93,0.01,0.46
Call of Duty: Advanced Warfare,2014,4.31,2.75,1.18,0,0.37
Asteroids,1980,4.31,4,0.26,0,0.05
Fable II,2008,4.31,2.51,1.27,0.11,0.41
Halo 5: Guardians,2015,4.26,2.64,1.2,0.03,0.39
Super Mario 3D World,2013,4.25,2.11,1.11,0.72,0.3
Batman: Arkham Asylum,2009,4.25,2.23,1.34,0.07,0.61
Assassin's Creed: Revelations,2011,4.24,1.41,2.02,0.1,0.72
Namco Museum,2001,4.24,3,1.11,0.05,0.07
Metal Gear Solid 3: Snake Eater,2004,4.23,1.46,0,0.83,1.93
Daxter,2006,4.22,2.45,1.02,0,0.75
Warcraft II: Tides of Darkness,1995,4.21,1.7,2.27,0,0.23
The Legend of Zelda: Ocarina of Time,2011,4.21,2.03,1.27,0.62,0.3
FIFA Soccer 06,2005,4.21,0.78,2.55,0.04,0.84
EyeToy Play,2003,4.2,0.88,2.3,0.2,0.83
Uncharted 4: A Thief's End,2016,4.2,1.3,2.07,0.18,0.65
Gran Turismo 5 Prologue,2007,4.2,1.28,1.83,0.57,0.53
Assassin's Creed: Revelations,2011,4.19,2.25,1.47,0.04,0.43
Street Fighter IV,2009,4.19,2.02,1.06,0.58,0.53
FIFA 12,2011,4.19,0.84,2.79,0.02,0.53
Teenage Mutant Ninja Turtles,1989,4.17,3.38,0.44,0.31,0.04
Excitebike,1984,4.16,2.04,0.48,1.57,0.07
Frogger,1997,4.16,3.79,0.27,0,0.11
Madden NFL 2003,2002,4.14,3.36,0.21,0.01,0.56
Watch Dogs,2014,4.14,1.4,1.86,0.11,0.77
Half-Life,1997,4.12,4.03,0,0.09,0
Super Mario World 2: Yoshi's Island,1995,4.12,1.65,0.61,1.76,0.09
FIFA Soccer 07,2006,4.11,0.71,2.48,0.03,0.89
The Legend of Zelda: Skyward Sword,2011,4.1,2.14,1.2,0.37,0.4
Street Fighter II Turbo,1992,4.1,1.42,0.51,2.1,0.07
Carnival Games,2007,4.1,2.13,1.5,0.05,0.42
Fallout 4,2015,4.09,2.45,1.26,0.01,0.37
World of Warcraft: The Burning Crusade,2007,4.09,2.57,1.52,0,0
Fallout: New Vegas,2010,4.08,2.65,1.06,0.04,0.33
God of War II,2007,4.07,2.32,0.04,0.04,1.67
Forza Motorsport 2,2007,4.06,2.35,1.28,0.03,0.41
World Soccer Winning Eleven 9,2005,4.06,0.12,2.26,0.9,0.77
Namco Museum Vol.3,1996,4.05,2.28,1.55,0.16,0.06
Tekken Tag Tournament,2000,4.05,1.68,1.51,0.51,0.35
Far Cry 4,2014,4.03,1.12,2.12,0.1,0.69
Star Fox 64,1997,4.03,2.78,0.58,0.64,0.04
Minecraft,2014,4.02,1.38,1.87,0.12,0.65
Golf,1984,4.01,1.22,0.28,2.46,0.04
Fallout 3,2008,4.01,2.15,1.2,0.07,0.59
Professor Layton and the Diabolical Box,2007,4,0.92,1.78,0.92,0.37
Left 4 Dead 2,2009,3.99,2.67,0.89,0.05,0.37
Namco Museum: 50th Anniversary,2005,3.98,2.08,1.35,0,0.54
EA Sports Active,2009,3.92,2.1,1.36,0.06,0.4
Assassin's Creed: Unity,2014,3.92,1.18,1.96,0.08,0.7
Donkey Kong Land,1994,3.91,1.97,0.76,1.07,0.11
Tony Hawk's Underground,2003,3.9,2.29,1.17,0.01,0.42
Assassin's Creed IV: Black Flag,2013,3.89,1.33,1.71,0.13,0.73
Monster Hunter 4 Ultimate,2014,3.89,0.67,0.49,2.62,0.11
MotorStorm,2006,3.88,1.53,1.61,0.06,0.67
The Elder Scrolls V: Skyrim,2011,3.88,1.15,2.09,0,0.64
Tekken 5,2005,3.87,0.93,1.94,0.31,0.7
Dragon Warrior III,1988,3.87,0.1,0,3.77,0
Sports Champions,2010,3.87,2.12,1.14,0.1,0.51
NBA 2K16,2015,3.85,2.48,0.65,0.03,0.69
World Soccer Winning Eleven 8 International,2004,3.85,0.16,1.89,1.12,0.68
Flash Focus: Vision Training in Minutes a Day,2007,3.84,0.87,1.57,1.05,0.35
Namco Museum Vol.1,1995,3.84,2.12,1.44,0.22,0.06
The Legend of Zelda: Link's Awakening,1992,3.83,2.21,0.96,0.54,0.13
Mario & Luigi: Bowser's Inside Story,2009,3.83,2.26,0.48,0.81,0.27
Big Brain Academy: Wii Degree,2007,3.82,1.06,1.93,0.41,0.43
Nintendogs + cats,2011,3.81,1.44,1.37,0.73,0.27
Batman: Arkham Knight,2015,3.79,1.49,1.58,0.1,0.61
Mario & Sonic at the London 2012 Olympic Games,2011,3.78,1.14,1.91,0.27,0.46
LEGO Indiana Jones: The Original Adventures,2008,3.78,2.4,1.03,0,0.36
Resident Evil Director's Cut,1996,3.77,1.82,1.24,0.47,0.25
Ratchet & Clank: Size Matters,2007,3.77,1.4,1.4,0.1,0.87
Just Dance 2014,2013,3.76,1.98,1.47,0,0.32
The Sims: Unleashed,2002,3.76,2.03,1.56,0,0.17
Super Paper Mario,2007,3.76,1.98,0.88,0.59,0.32
Harry Potter and the Sorcerer's Stone,2001,3.73,1.37,2,0.14,0.22
The Witcher 3: Wild Hunt,2015,3.73,0.96,2,0.21,0.56
Resident Evil 3: Nemesis,1999,3.72,1.3,0.77,1.54,0.11
Spyro: Year of the Dragon,2000,3.71,1.93,1.58,0,0.19
FIFA Soccer 2005,2004,3.7,0.58,2.48,0.04,0.59
Pokémon Trading Card Game,1998,3.7,1.49,0.73,1.38,0.1
Battlefield 4,2013,3.69,1.3,1.51,0.27,0.61
MySims,2007,3.69,1.59,1.61,0.08,0.41
Friend Collection,2009,3.67,0,0,3.67,0
Tony Hawk's Pro Skater 4,2002,3.67,2.13,1.18,0.01,0.35
Midnight Club 3: DUB Edition,2005,3.66,1.65,1.22,0,0.79
Banjo-Kazooie,1998,3.65,1.87,1.13,0.55,0.1
SOCOM: U.S. Navy SEALs,2002,3.65,2.53,0.81,0.06,0.24
Guitar Hero: World Tour,2008,3.65,2.33,0.97,0,0.35
Gran Turismo 6,2013,3.64,0.71,1.8,0.4,0.74
Jak and Daxter: The Precursor Legacy,2001,3.64,2.08,1.09,0.15,0.33
Pokemon Snap,1999,3.63,2.23,0.68,0.66,0.06
FIFA Soccer 10,2009,3.63,0.6,2.46,0.05,0.52
Pro Evolution Soccer 2008,2007,3.63,0.05,0,0.64,2.93
Call of Duty: Ghosts,2013,3.63,1.78,1.42,0.05,0.38
Resident Evil 4,2005,3.62,2.08,0.83,0.46,0.25
Tom Clancy's The Division,2016,3.61,1.28,1.61,0.15,0.57
Star Wars: Battlefront,2004,3.61,1.93,1.22,0.03,0.44
Doom II: Hell on Earth,1994,3.61,2.05,1.4,0,0.16
The Simpsons: Road Rage,2001,3.61,2.02,1.17,0,0.42
Cooking Mama 2: Dinner With Friends,2007,3.61,1.61,1.5,0.1,0.39
Luigi's Mansion,2001,3.6,2.38,0.67,0.46,0.1
Star Wars: Battlefront II,2005,3.59,2.18,1.02,0.03,0.37
WWF SmackDown!,2000,3.58,2.01,1.35,0.06,0.16
Croc: Legend of the Gobbos,1997,3.56,1.57,1.79,0,0.2
Grand Theft Auto: Liberty City Stories,2006,3.54,1.56,1.4,0.07,0.5
The Getaway,2002,3.54,1.23,1.77,0.05,0.49
Tomb Raider III: Adventures of Lara Croft,1997,3.54,1.66,1.58,0.12,0.18
James Bond 007: Agent Under Fire,2001,3.53,1.9,1.13,0.1,0.41
LEGO Star Wars: The Video Game,2005,3.53,1.98,1.14,0.01,0.41
Battlefield 4,2013,3.53,2.14,1.08,0.02,0.29
FIFA Soccer 11,2010,3.53,0.71,2.4,0.02,0.4
Rugrats in Paris: The Movie,2000,3.52,1.96,1.33,0,0.23
Spyro 2: Ripto's Rage!,1999,3.52,2.14,1.21,0.01,0.17
Left 4 Dead,2008,3.52,2.66,0.5,0.05,0.3
Mario & Sonic at the Olympic Winter Games,2009,3.52,1.22,1.66,0.27,0.38
Resident Evil 5,2009,3.51,2.11,0.94,0.12,0.34
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,3.51,1.17,0.5,1.75,0.08
Assassin's Creed: Brotherhood,2010,3.5,2.84,0.39,0.03,0.24
Kung Fu,1985,3.5,1.64,0.38,1.42,0.06
Batman: Arkham Asylum,2009,3.5,2.2,0.97,0.02,0.31
Clubhouse Games,2006,3.5,0.59,1.83,0.73,0.35
FIFA Soccer 2004,,3.49,0.59,2.36,0.04,0.51
Star Wars Battlefront (2015),2015,3.49,1.94,1.22,0.02,0.31
Battlefield: Bad Company 2,2010,3.48,2.09,1.02,0.04,0.32
Guitar Hero: On Tour,2008,3.48,2.11,1.01,0.01,0.35
Assassin's Creed: Unity,2014,3.46,2.26,0.89,0,0.3
Far Cry 3,2012,3.45,0.88,1.75,0.1,0.72
Monster Hunter 4,2013,3.44,0,0,3.44,0
Borderlands,2009,3.44,2.39,0.73,0.03,0.29
Tekken 4,2002,3.44,1.55,1.27,0.33,0.29
Battlefield 4,2013,3.43,1.34,1.54,0.17,0.38
LittleBigPlanet 2,2011,3.42,1.82,1.07,0.06,0.47
Grand Theft Auto 2,1998,3.42,1.13,2.07,0,0.22
Final Fantasy III,1994,3.42,0.86,0,2.55,0.02
Spider-Man 2,2004,3.41,1.75,1.2,0.02,0.43
F-1 Race,1990,3.41,1.73,0.69,0.59,0.4
FIFA Soccer 2003,2002,3.4,0.46,2.28,0.05,0.61
Crash Bash,2000,3.39,1.56,1.47,0.19,0.17
LEGO Batman: The Videogame,2008,3.38,2.03,1.03,0,0.32
Metal Gear Solid V: The Phantom Pain,2015,3.38,1.08,1.35,0.48,0.47
The Legend of Zelda: Spirit Tracks,2009,3.38,1.43,0.94,0.74,0.27
WWF War Zone,1998,3.36,2.47,0.76,0,0.13
The Legend of Zelda: Majora's Mask,2000,3.36,1.9,0.67,0.73,0.06
Professor Layton and the Unwound Future,2008,3.36,0.65,1.61,0.82,0.28
